Prefix,URI
cc,http://creativecommons.org/ns#
data,https://www.wikidata.org/wiki/Special:EntityData/
owl,http://www.w3.org/2002/07/owl#
p,http://www.wikidata.org/prop/
pq,http://www.wikidata.org/prop/qualifier/
pqn,http://www.wikidata.org/prop/qualifier/value-normalized/
pqv,http://www.wikidata.org/prop/qualifier/value/
pr,http://www.wikidata.org/prop/reference/
prn,http://www.wikidata.org/prop/reference/value-normalized/
prov,http://www.w3.org/ns/prov#
prv,http://www.wikidata.org/prop/reference/value/
ps,http://www.wikidata.org/prop/statement/
psn,http://www.wikidata.org/prop/statement/value-normalized/
psv,http://www.wikidata.org/prop/statement/value/
rdfs,http://www.w3.org/2000/01/rdf-schema#
ref,http://www.wikidata.org/reference/
s,http://www.wikidata.org/entity/statement/
schema1,http://schema.org/
skos,http://www.w3.org/2004/02/skos/core#
v,http://www.wikidata.org/value/
wd,http://www.wikidata.org/entity/
wdno,http://www.wikidata.org/prop/novalue/
wdt,http://www.wikidata.org/prop/direct/
wdtn,http://www.wikidata.org/prop/direct-normalized/
wikibase,http://wikiba.se/ontology#
xsd,http://www.w3.org/2001/XMLSchema#
